length,tasks,computed braids,braids,geodesics
2,26,25,84,132
3,120,134,478,1340
4,436,687,2500,12788
5,1294,3366,12612,117452
6,3269,16495,62570,1053604
7,7338,80336,307756,9311420
8,14965,390927,1506212,81488628
9,28350,1896708,7348366,708368540
10,50484,9200253,35773324,6128211364
11,85544,44579326,173885572,52826999612
12,138854,215948957,844277874,454136092148
13,217496,1045501976,4095929948,3895624824092
14,330113,5060817573,19858981932,33359143410468
15,487802,24490820116,96242356958,285259736104444
16,703679,118506769091,466262144180,2436488694821748
17,994146,573367302674,2258320991652,20790986096580060
